"Timestamp","What is your gender? ذكر ام انثى؟","What is your current education level? المستوى العلمي الحالي؟","Are you planning to travel abroad within the next two years?  هل تنوي السفر خارج لبنان خلال السنتين القادمتين؟","What is your area of study? ماذا تدرس؟","What is your main source of income? ما هو مصدر دخلك؟","How much money (in US Dollars) do you spend monthly?  كم تصرف بالشهر؟ )بالدولار)","How much money (in US Dollars) do you save monthly? كم توفّر من المال جانبا كل شهر؟","How long do you sleep per day?  كم ساعة تنام باليوم؟","How much time do you spend socializing per week?  كم ساعة تقريبا بالسبوع تختلط مع الناس (اجتماعيات)؟","How much time do you spend watching Lebanese news?  ما مدى اهتمامك بالأخبار(السياسية و الاقتصادية) عن لبنان؟","How often have you been upset because of something that happened unexpectedly? كم مرة انزعجت بسبب شيء حدث بشكل غير متوقع؟","How often have you felt that you were unable to control important things in your life?  كم مرة شعرت أنك غير قادر على التحكم في الأمور المهمة في حياتك؟","How often you felt nervous and stressed?  كم مرة شعرت بالتوتر والضغط؟","How often have you dealt successfully with irritating life hassles?  كم مرة تعاملت بنجاح مع متاعب الحياة المزعجة؟","How often have you felt that you were effectively coping with important changes that were occurring in your life?  كم مرة شعرت أنك تتعامل بفعالية مع التغييرات المهمة التي حدثت في حياتك؟","How often have you felt confidence about your ability to handle your personal problems?  كم مرة شعرت بالثقة بشأن قدرتك على التعامل مع مشاكلك الشخصية؟","How often have you felt that things were going your way?  كم مرة شعرت أن الأمور تسير في طريقك؟","How often have you found that you could not cope with all the things that you had to do?  كم مرة وجدت أنك لا تستطيع التعامل مع كل الأشياء التي كان عليك القيام بها؟","How often have you been able to control irritations in your life?  كم مرة تمكنت من السيطرة على المضايقات في حياتك؟","How often have you felt that you were on top of things?  كم مرة شعرت أنك على رأس الأمور؟","How often have you been angered because of things that happened that were outside of your control?  كم مرة شعرت بالغضب بسبب أشياء حدثت خارجة عن إرادتك؟","How often have you found yourself thinking about things that you have to accomplish?  كم مرة وجدت نفسك تفكر في الأشياء التي عليك إنجازها؟","How often have you been able to control the way you spend your time?  كم مرة تمكنت من التحكم في الطريقة التي تقضي بها وقتك؟","How often have you felt difficulties were piling up so high that you could not overcome them?  كم مرة شعرت أن الصعوبات تتراكم بشكل كبير لدرجة أنك لا تستطيع التغلب عليها؟"
"2023/12/28 7:42:58 PM GMT+1","Female","Masters","Yes","Information technology ","Work","150","200","Between 5 hours and 7 hours","Less than 10 hours per week","I don't care","4","3","4","2","2","3","2","3","2","2","4","4","2","2"
"2023/12/28 8:44:49 PM GMT+1","Female","Masters","No","Accounting and auditing","Family","100","200","Between 5 hours and 7 hours","More than 40 hours per week","I don't care","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"2023/12/28 9:02:29 PM GMT+1","Female","Masters","Yes","MIS","Work","100$","100$","Between 5 hours and 7 hours","Between 10 hours and 20 hours per week","I just keep myself informed","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"2023/12/28 9:10:21 PM GMT+1","Female","Masters","No","Business ","Work","1000","100","Between 5 hours and 7 hours","Between 20 hours and 30 hours per week","Every once in a long while","3","2","3","3","3","3","2","2","2","2","2","3","2","2"
"2023/12/28 9:55:29 PM GMT+1","Female","Masters","No","Finance ","Work","1600$","Zero","Between 5 hours and 7 hours","Less than 10 hours per week","I don't care","2","3","4","3","3","3","3","3","3","3","3","3","3","2"
"2023/12/28 10:03:18 PM GMT+1","Female","Masters","No","Statistics ","Family","200$","0$","More than 7 hours","Between 20 hours and 30 hours per week","I just keep myself informed","3","2","3","2","2","4","2","2","3","3","2","4","3","3"
"2023/12/28 10:08:53 PM GMT+1","Male","Masters","Yes","Accounting","Work","400","0","Between 5 hours and 7 hours","Less than 10 hours per week","I just keep myself informed","2","3","2","3","2","3","2","1","4","1","1","4","2","2"
"2023/12/28 10:18:01 PM GMT+1","Female","Bachelors","No","Lebanon","Family","Apporximatly 200$ ","Nothing","Between 5 hours and 7 hours","Less than 10 hours per week","I just keep myself informed","2","3","4","2","2","2","2","3","2","1","4","4","2","2"
"2023/12/28 10:19:08 PM GMT+1","Male","Masters","Yes","Fanar","Work","250 ","100","Between 5 hours and 7 hours","Between 10 hours and 20 hours per week","I just keep myself informed","2","2","3","3","3","4","1","2","2","3","4","4","0","2"
"2023/12/28 10:30:20 PM GMT+1","Female","Masters","No","Physical Therapy ","Family","~30$","10$","Between 5 hours and 7 hours","Between 10 hours and 20 hours per week","A lot","3","2","3","2","3","3","2","1","2","2","3","3","3","2"
"2023/12/28 10:34:25 PM GMT+1","Male","Masters","No","Mechanical engineering","Work","800","100","Between 5 hours and 7 hours","Between 10 hours and 20 hours per week","Every once in a long while","1","1","2","3","3","3","3","1","3","3","1","3","3","2"
"2023/12/28 10:34:30 PM GMT+1","Female","Masters","No","Master accounting and geographique","Work","300$","Zero","Between 5 hours and 7 hours","Between 10 hours and 20 hours per week","I just keep myself informed","1","1","2","3","3","3","3","1","3","3","1","3","3","2"
"2023/12/28 11:57:43 PM GMT+1","Female","PhD","Yes","Civil engineering ","Work","700$","300$","Between 5 hours and 7 hours","Less than 10 hours per week","Every once in a long while","4","4","3","4","2","3","2","2","3","2","3","3","2","2"
"2023/12/29 4:05:44 AM GMT+1","Female","Bachelors","Yes","Business informatics ","Work","300","0","Between 5 hours and 7 hours","Less than 10 hours per week","I just keep myself informed","4","4","3","3","2","3","2","3","3","2","3","3","2","3"
"2023/12/29 5:03:51 AM GMT+1","Male","Masters","No","Beirut","Work","200 usd","10 usd","More than 7 hours","Between 10 hours and 20 hours per week","I just keep myself informed","2","2","3","2","2","2","2","2","2","2","2","4","3","2"
"2023/12/29 8:55:39 AM GMT+1","Female","Masters","Yes","Business Management","Work","500$","0","Between 5 hours and 7 hours","Less than 10 hours per week","I just keep myself informed","3","4","3","3","4","4","2","3","2","2","2","4","2","2"
"2023/12/29 10:21:37 PM GMT+1","Female","Masters","No","علم اجتماع التربية","Work","500","0","Between 5 hours and 7 hours","Between 10 hours and 20 hours per week","A lot (كثير)","2","2","1","3","3","3","3","1","3","3","2","3","3","1"
"2023/12/30 8:26:59 AM GMT+1","Female","Masters","Yes","علم اجتماع تربية ","Family","150$","0","Between 5 hours and 7 hours","More than 40 hours per week","Every once in a long while (القليل)","4","1","4","3","3","3","3","1","2","2","3","4","3","3"
"2023/12/30 8:36:29 AM GMT+1","Male","Bachelors","Yes","هندسة","Family","حوالي ال100$","غير محدد","Between 5 hours and 7 hours","Between 20 hours and 30 hours per week","I just keep myself informed (فقط لأبقي نفسي على اطلاع)","3","2","2","3","2","2","3","3","2","2","3","4","3","2"
"2023/12/30 9:45:11 AM GMT+1","Female","Masters","Yes","علم اجتماع تربية ","Family","300$","20$","Between 5 hours and 7 hours","Between 20 hours and 30 hours per week","I don't care (لا اهتم)","4","2","4","4","4","4","4","2","2","3","4","4","2","4"
"2023/12/30 10:05:07 AM GMT+1","Female","Masters","No","علوم اجتماعيه ","Family","٥٠$","٥٠$ تقريباً ","Between 5 hours and 7 hours","Less than 10 hours per week","Every once in a long while (القليل)","4","3","4","3","3","2","3","2","3","2","0","4","0","0"
"2023/12/30 11:29:37 AM GMT+1","Female","Masters","No","ماستر ٢ علم نفس اجتماعي","Family","٢٠٠$","٠","More than 7 hours","Between 10 hours and 20 hours per week","A lot (كثير)","4","4","3","4","3","4","4","2","3","2","4","4","4","3"
"2023/12/30 12:31:15 PM GMT+1","Male","Bachelors","No","Accounting","Work","100 to 200","100 to 200","Between 5 hours and 7 hours","More than 40 hours per week","I just keep myself informed (فقط لأبقي نفسي على اطلاع)","1","0","2","3","3","4","3","1","3","2","2","4","3","0"
"2023/12/30 2:45:27 PM GMT+1","Female","Bachelors","No","Business - Banking and Finance","Family","250","0","More than 7 hours","Between 10 hours and 20 hours per week","Every once in a long while (القليل)","2","2","3","3","3","3","3","3","3","3","2","3","3","1"
"2023/12/30 2:55:45 PM GMT+1","Female","Masters","No","Mis","Work","100$","500$","More than 7 hours","Between 20 hours and 30 hours per week","Every once in a long while (القليل)","2","1","1","3","3","2","3","2","3","3","2","3","2","2"
"2023/12/30 2:59:45 PM GMT+1","Male","Masters","No","Management information system ","Work","250","600","Between 5 hours and 7 hours","Between 30 hours and 40 hours per week","A lot (كثير)","2","0","1","3","4","3","2","1","3","3","2","4","2","1"
"2023/12/30 3:06:50 PM GMT+1","Female","Bachelors","No","Medicine","Family","200","0","Between 5 hours and 7 hours","More than 40 hours per week","I just keep myself informed (فقط لأبقي نفسي على اطلاع)","2","1","3","3","3","3","3","2","3","3","1","3","3","2"
"2023/12/30 3:07:42 PM GMT+1","Female","Masters","No","Mathematics ","Family","..","..","More than 7 hours","Less than 10 hours per week","I just keep myself informed (فقط لأبقي نفسي على اطلاع)","1","4","1","4","4","4","4","0","4","3","2","3","3","0"
"2023/12/30 3:09:40 PM GMT+1","Female","Masters","No","maths / لغة عربية","Work","200","100","Between 5 hours and 7 hours","Less than 10 hours per week","I just keep myself informed (فقط لأبقي نفسي على اطلاع)","3","1","2","3","3","2","3","3","4","3","3","4","1","1"
"2023/12/30 3:11:21 PM GMT+1","Female","Bachelors","No","ادارة اعمال ","Family","200$تقريبا ","10$ تقريبا ","Between 5 hours and 7 hours","More than 40 hours per week","Every once in a long while (القليل)","4","3","4","2","2","2","1","3","1","1","4","4","3","4"
"2023/12/30 3:55:47 PM GMT+1","Male","Masters","Yes","Mis","Work","200","100","Between 5 hours and 7 hours","Between 30 hours and 40 hours per week","I don't care (لا اهتم)","3","1","2","4","2","2","2","2","2","2","2","2","2","2"
"2023/12/30 4:18:05 PM GMT+1","Male","Bachelors","No","Computer science ","Work","100$","100","Between 5 hours and 7 hours","Less than 10 hours per week","A lot (كثير)","4","2","3","2","2","3","2","1","2","3","4","4","1","1"
"2023/12/30 5:59:36 PM GMT+1","Male","Masters","Yes","Computer Scores","Work","150$","0","Between 5 hours and 7 hours","Less than 10 hours per week","A lot (كثير)","2","2","4","3","3","3","1","3","2","2","2","4","2","3"
"2023/12/30 6:21:19 PM GMT+1","Female","Masters","Yes","English lit","Work","200","50","More than 7 hours","Between 10 hours and 20 hours per week","Every once in a long while (القليل)","4","3","3","2","2","2","4","2","3","3","2","3","1","2"
"2023/12/30 6:37:31 PM GMT+1","Female","Bachelors","No","علاج فيزيائي","Family","بحدود 100 دولار",".","Between 5 hours and 7 hours","More than 40 hours per week","A lot (كثير)","4","2","4","4","0","4","4","4","2","2","4","4","2","4"
"2023/12/30 6:39:48 PM GMT+1","Female","Masters","Yes","Chemistry","Loans","200$","10$- 50$","Between 5 hours and 7 hours","Less than 10 hours per week","I just keep myself informed (فقط لأبقي نفسي على اطلاع)","4","1","4","4","4","4","1","2","3","3","1","4","2","1"
"2023/12/30 6:47:28 PM GMT+1","Female","Bachelors","No","Public health","Work","500","100","Between 5 hours and 7 hours","Less than 10 hours per week","Every once in a long while (القليل)","4","3","4","4","4","4","2","2","4","4","4","4","4","4"
"2023/12/30 7:43:20 PM GMT+1","Female","Bachelors","No","Radio and Television","Family","80$","0","Between 5 hours and 7 hours","Between 10 hours and 20 hours per week","Every once in a long while (القليل)","2","3","4","4","3","4","4","4","4","2","2","4","2","3"
"2023/12/30 7:46:43 PM GMT+1","Female","PhD","Yes","PhD in chemistry ","Work","1000","50","More than 7 hours","More than 40 hours per week","I just keep myself informed (فقط لأبقي نفسي على اطلاع)","4","4","4","3","3","2","3","2","1","2","4","4","4","4"
"2023/12/30 8:33:27 PM GMT+1","Female","Bachelors","No","علم نفس","Work","٤٠٠$","٠$","More than 7 hours","Between 30 hours and 40 hours per week","I just keep myself informed (فقط لأبقي نفسي على اطلاع)","4","2","2","4","4","4","4","2","3","3","4","4","4","3"
"2023/12/30 8:45:10 PM GMT+1","Female","Masters","No","Chemistry","Work","400$","0","Between 5 hours and 7 hours","Less than 10 hours per week","I don't care (لا اهتم)","2","2","3","4","4","4","4","1","4","4","2","4","4","2"
"2023/12/30 10:14:30 PM GMT+1","Female","Masters","Yes","Speech therapy","Work","250$","20$","Between 5 hours and 7 hours","Between 10 hours and 20 hours per week","Every once in a long while (القليل)","2","2","3","3","2","3","4","4","2","3","2","4","2","2"
"2023/12/31 7:05:37 AM GMT+1","Female","Masters","Yes","Mathematics ","Work","200","200","Between 5 hours and 7 hours","Between 30 hours and 40 hours per week","I just keep myself informed (فقط لأبقي نفسي على اطلاع)","4","4","4","3","2","2","2","4","2","0","4","4","1","4"
"2023/12/31 7:52:32 AM GMT+1","Female","Masters","No","Biomolecular chemistry ","Work","100$ to 200$ ","200$ to 300$ ","Between 5 hours and 7 hours","Between 10 hours and 20 hours per week","I just keep myself informed (فقط لأبقي نفسي على اطلاع)","4","1","3","4","3","4","3","0","4","3","2","3","4","0"
"2023/12/31 12:51:49 PM GMT+1","Female","Masters","No","Special Education ","Work","Around 200/300$","Around 200$","Between 5 hours and 7 hours","Between 10 hours and 20 hours per week","Every once in a long while (القليل)","2","2","4","2","2","2","3","1","2","3","1","4","2","0"
"2023/12/31 3:16:40 PM GMT+1","Male","Masters","Yes","MIS","Work","500$","0","Between 5 hours and 7 hours","Less than 10 hours per week","Every once in a long while (القليل)","3","3","3","2","2","2","2","2","3","3","2","2","2","2"
"2023/12/31 6:19:29 PM GMT+1","Male","Bachelors","Yes","Computer Science","Loans","300","0","More than 7 hours","Between 30 hours and 40 hours per week","I just keep myself informed (فقط لأبقي نفسي على اطلاع)","2","1","4","0","2","4","2","3","1","2","4","2","1","1"
"2024/01/01 12:30:38 PM GMT+1","Female","Masters","Yes","علوم اجتماعية _ ماستر ٢تنمية اقتصادية واجتماعية ","Family","مصاريف جامعية فقط أقل من ١٠٠$","لا أوفر","More than 7 hours","Less than 10 hours per week","I don't care (لا اهتم)","2","0","0","4","4","4","3","1","4","3","1","2","3","1"
"2024/01/01 5:38:24 PM GMT+1","Female","Masters","No","Social psychology ","Family","50$","0","Between 5 hours and 7 hours","Between 20 hours and 30 hours per week","I just keep myself informed (فقط لأبقي نفسي على اطلاع)","2","2","1","1","3","3","3","2","3","3","2","3","2","1"
